#time,s ray1,V ray2,V
#
8.639999999999999948e-05 3.564734500000000389e-02 3.741625000000000506e-02
8.719999999999997827e-05 3.520333500000000226e-02 3.628333000000000252e-02
8.799999999999997061e-05 3.520333499999998839e-02 3.656874499999999972e-02
8.880000000000000360e-05 3.594191500000000483e-02 3.728017999999999610e-02
8.959999999999999595e-05 3.600777500000000575e-02 3.683229500000000101e-02
9.039999999999997473e-05 3.511087999999999709e-02 3.680586500000000705e-02
9.120000000000000773e-05 3.502737999999999685e-02 3.663459500000000590e-02
9.200000000000000007e-05 3.533954999999999735e-02 3.617349000000000953e-02
9.279999999999997886e-05 3.540990500000000540e-02 3.677063499999999596e-02
9.359999999999998475e-05 3.585835500000000148e-02 3.741182499999999578e-02
9.440000000000000420e-05 3.553745000000000515e-02 3.670493500000000103e-02
9.519999999999998299e-05 3.485157500000000269e-02 3.677086000000000243e-02
9.600000000000000243e-05 3.522090000000001331e-02 3.679716499999999973e-02
9.680000000000000833e-05 3.553300499999999945e-02 3.609005000000001240e-02
9.759999999999998711e-05 3.527357999999999882e-02 3.663020500000000595e-02
9.840000000000000656e-05 3.550224000000000435e-02 3.719228500000000548e-02
9.919999999999998535e-05 3.536152499999999782e-02 3.628324000000000826e-02
9.999999999999999124e-05 3.501418500000000322e-02 3.602856000000001502e-02
1.008000000000000107e-04 3.540991500000000014e-02 3.675748000000000210e-02
1.015999999999999895e-04 3.567374500000000670e-02 3.640619999999999273e-02
1.023999999999999954e-04 3.572210500000000399e-02 3.690685500000000230e-02
1.031999999999999877e-04 3.578805000000000180e-02 3.728020499999999682e-02
1.039999999999999936e-04 3.542753000000000568e-02 3.642389500000000474e-02
1.047999999999999724e-04 3.482080999999999371e-02 3.620424000000001252e-02
1.055999999999999918e-04 3.526485999999998816e-02 3.678827499999999529e-02
1.063999999999999977e-04 3.598592999999999931e-02 3.706939500000000498e-02
1.071999999999999901e-04 3.632446499999998635e-02 3.723628000000001048e-02
1.079999999999999960e-04 3.605625999999999276e-02 3.699467499999999770e-02
1.088000000000000019e-04 3.522528500000000895e-02 3.600667999999999924e-02
